#Theta He10 He15 diff
37.6 22.4421644 22.3861901 0.0559743
37.7 22.3899668 22.3352779 0.0546889
37.8 22.3312787 22.2779040 0.0533747
37.9 22.2661355 22.2141037 0.0520318
38.0 22.1945760 22.1439155 0.0506605
38.1 22.1166424 22.0673813 0.0492611
38.2 22.0323800 21.9845462 0.0478338
38.3 21.9418377 21.8954589 0.0463788
38.4 21.8450674 21.8001709 0.0448965
38.5 21.7421243 21.6987373 0.043387
38.6 21.6330669 21.5912161 0.0418508
38.7 21.5179567 21.4776686 0.0402881
38.8 21.3968583 21.3581591 0.0386992
38.9 21.2698395 21.2327550 0.0370845
39.0 21.1369711 21.1015268 0.0354443
39.1 20.9983268 20.9645478 0.033779
39.2 20.8539832 20.8218944 0.0320888
39.3 20.7040198 20.6736456 0.0303742
39.4 20.5485192 20.5198836 0.0286356
39.5 20.3875665 20.3606931 0.0268734
39.6 20.2212496 20.1961617 0.0250879
39.7 20.0496591 20.0263795 0.0232796
39.8 19.8728883 19.8514394 0.0214489
39.9 19.6910330 19.6714367 0.0195963
40.0 19.5041916 19.4864695 0.0177221
40.1 19.3124648 19.2966381 0.0158267
40.2 19.1159560 19.1020452 0.0139108
40.3 18.9147707 18.9027959 0.0119748
40.4 18.7090167 18.6989977 0.010019
40.5 18.4988043 18.4907602 0.0080441
40.6 18.2842455 18.2781951 0.0060504
40.7 18.0654549 18.0614163 0.0040386
40.8 17.8425487 17.8405397 0.002009
40.9 17.6156455 17.6156831 -3.76e-05
41.0 17.3848654 17.3869663 -0.0021009
41.1 17.1503305 17.1545110 -0.0041805
41.2 16.9121648 16.9184403 -0.0062755
41.3 16.6704939 16.6788795 -0.0083856
41.4 16.4254450 16.4359551 -0.0105101
41.5 16.1771468 16.1897954 -0.0126486
41.6 15.9257296 15.9405300 -0.0148004
41.7 15.6713252 15.6882903 -0.0169651
41.8 15.4140667 15.4332085 -0.0191418
41.9 15.1540882 15.1754184 -0.0213302
42.0 14.8915253 14.9150550 -0.0235297
42.1 14.6265148 14.6522544 -0.0257396
42.2 14.3591943 14.3871536 -0.0279593
42.3 14.0897025 14.1198908 -0.0301883
42.4 13.8181790 13.8506049 -0.0324259
42.5 13.5447642 13.5794358 -0.0346716
42.6 13.2695994 13.3065239 -0.0369245
42.7 12.9928263 13.0320107 -0.0391844
42.8 12.7145875 12.7560379 -0.0414504
42.9 12.4350260 12.4787479 -0.0437219
43.0 12.1542851 12.2002835 -0.0459984
43.1 11.8725089 11.9207880 -0.0482791
43.2 11.5898413 11.6404047 -0.0505634
43.3 11.3064267 11.3592775 -0.0528508
43.4 11.0224096 11.0775502 -0.0551406
43.5 10.7379346 10.7953667 -0.0574321
43.6 10.4531463 10.5128710 -0.0597247
43.7 10.1681891 10.2302069 -0.0620178
43.8 9.8832074 9.9475180 -0.0643106
43.9 9.5983453 9.6649479 -0.0666026
44.0 9.3137465 9.3826397 -0.0688932
44.1 9.0295545 9.1007362 -0.0711817
44.2 8.7459122 8.8193797 -0.0734675
44.3 8.4629621 8.5387119 -0.0757498
44.4 8.1808459 8.2588740 -0.0780281
44.5 7.8997049 7.9800066 -0.0803017
44.6 7.6196793 7.7022493 -0.08257
44.7 7.3409088 7.4257412 -0.0848324
44.8 7.0635320 7.1506202 -0.0870882
44.9 6.7876867 6.8770235 -0.0893368
45.0 6.5135094 6.6050870 -0.0915776
45.1 6.2411358 6.3349457 -0.0938099
45.2 5.9707003 6.0667334 -0.0960331
45.3 5.7023360 5.8005826 -0.0982466
45.4 5.4361747 5.5366245 -0.10045
45.5 5.1723469 5.2749889 -0.102642
45.6 4.9109816 5.0158043 -0.104823
45.7 4.6522062 4.7591974 -0.106991
45.8 4.3961468 4.5052938 -0.109147
45.9 4.1429275 4.2542170 -0.111289
46.0 3.8926711 4.0060890 -0.113418
46.1 3.6454982 3.7610302 -0.115532
46.2 3.4015280 3.5191588 -0.117631
46.3 3.1608775 3.2805915 -0.119714
46.4 2.9236619 3.0454429 -0.121781
46.5 2.6899944 2.8138256 -0.123831
46.6 2.4599862 2.5858501 -0.125864
46.7 2.2337462 2.3616251 -0.127879
46.8 2.0113813 2.1412567 -0.129875
46.9 1.7929963 1.9248491 -0.131853
47.0 1.5786934 1.7125042 -0.133811
47.1 1.3685728 1.5043216 -0.135749
47.2 1.1627321 1.3003983 -0.137666
47.3 0.9612668 1.1008294 -0.139563
47.4 0.7642695 0.9057070 -0.141437
47.5 0.5718307 0.7151210 -0.14329
47.6 0.3840382 0.5291589 -0.145121
47.7 0.2009772 0.3479052 -0.146928
47.8 0.0227302 0.1714422 -0.148712
47.9 -0.1506228 -0.0001506 -0.150472
48.0 -0.3190045 -0.1667965 -0.152208
48.1 -0.4823405 -0.3284215 -0.153919
48.2 -0.6405592 -0.4849541 -0.155605
48.3 -0.7935915 -0.6363261 -0.157265
48.4 -0.9413714 -0.7824715 -0.1589
48.5 -1.0838357 -0.9233278 -0.160508
