# alpha	alpha^2	B*sin(alpha)
62.100000	3856.410000	12.006876
62.200000	3868.840000	12.086938
62.300000	3881.290000	12.167497
62.400000	3893.760000	12.248198
62.500000	3906.250000	12.328683
62.600000	3918.760000	12.408596
62.700000	3931.290000	12.487584
62.800000	3943.840000	12.565297
62.900000	3956.410000	12.641389
63.000000	3969.000000	12.715521
63.100000	3981.610000	12.787362
63.200000	3994.240000	12.856589
63.300000	4006.890000	12.922890
63.400000	4019.560000	12.985962
63.500000	4032.250000	13.045517
63.600000	4044.960000	13.101279
63.700000	4057.690000	13.152985
63.800000	4070.440000	13.200390
63.900000	4083.210000	13.243263
64.000000	4096.000000	13.281391
64.100000	4108.810000	13.314581
64.200000	4121.640000	13.342654
64.300000	4134.490000	13.365455
64.400000	4147.360000	13.382846
64.500000	4160.250000	13.394710
64.600000	4173.160000	13.400952
64.700000	4186.090000	13.401496
64.800000	4199.040000	13.396290
64.900000	4212.010000	13.385302
65.000000	4225.000000	13.368522
65.100000	4238.010000	13.345961
65.200000	4251.040000	13.317654
65.300000	4264.090000	13.283656
65.400000	4277.160000	13.244043
65.500000	4290.250000	13.198913
65.600000	4303.360000	13.148385
65.700000	4316.490000	13.092596
65.800000	4329.640000	13.031706
65.900000	4342.810000	12.965892
66.000000	4356.000000	12.895349
66.100000	4369.210000	12.820292
66.200000	4382.440000	12.740951
66.300000	4395.690000	12.657573
66.400000	4408.960000	12.570419
66.500000	4422.250000	12.479764
66.600000	4435.560000	12.385899
66.700000	4448.890000	12.289123
66.800000	4462.240000	12.189749
66.900000	4475.610000	12.088097
67.000000	4489.000000	11.984497
67.100000	4502.410000	11.879287
67.200000	4515.840000	11.772809
67.300000	4529.290000	11.665411
67.400000	4542.760000	11.557444
67.500000	4556.250000	11.449261
67.600000	4569.760000	11.341215
67.700000	4583.290000	11.233661
67.800000	4596.840000	11.126949
67.900000	4610.410000	11.021427
68.000000	4624.000000	10.917439
68.100000	4637.610000	10.815322
68.200000	4651.240000	10.715408
68.300000	4664.890000	10.618017
68.400000	4678.560000	10.523464
68.500000	4692.250000	10.432050
68.600000	4705.960000	10.344065
68.700000	4719.690000	10.259787
68.800000	4733.440000	10.179480
68.900000	4747.210000	10.103392
69.000000	4761.000000	10.031756
69.100000	4774.810000	9.964788
69.200000	4788.640000	9.902687
69.300000	4802.490000	9.845633
69.400000	4816.360000	9.793789
69.500000	4830.250000	9.747296
69.600000	4844.160000	9.706277
69.700000	4858.090000	9.670834
69.800000	4872.040000	9.641047
69.900000	4886.010000	9.616978
70.000000	4900.000000	9.598664
70.100000	4914.010000	9.586123
70.200000	4928.040000	9.579352
70.300000	4942.090000	9.578325
70.400000	4956.160000	9.582995
70.500000	4970.250000	9.593295
70.600000	4984.360000	9.609135
70.700000	4998.490000	9.630407
70.800000	5012.640000	9.656983
70.900000	5026.810000	9.688712
71.000000	5041.000000	9.725428
71.100000	5055.210000	9.766945
71.200000	5069.440000	9.813059
71.300000	5083.690000	9.863550
71.400000	5097.960000	9.918182
71.500000	5112.250000	9.976703
71.600000	5126.560000	10.038847
71.700000	5140.890000	10.104336
71.800000	5155.240000	10.172880
71.900000	5169.610000	10.244176
72.000000	5184.000000	10.317913
72.100000	5198.410000	10.393771
72.200000	5212.840000	10.471423
72.300000	5227.290000	10.550534
72.400000	5241.760000	10.630767
72.500000	5256.250000	10.711778
72.600000	5270.760000	10.793224
72.700000	5285.290000	10.874758
72.800000	5299.840000	10.956034
72.900000	5314.410000	11.036710
73.000000	5329.000000	11.116444
73.100000	5343.610000	11.194898
73.200000	5358.240000	11.271741
73.300000	5372.890000	11.346649
73.400000	5387.560000	11.419303
73.500000	5402.250000	11.489396
73.600000	5416.960000	11.556630
73.700000	5431.690000	11.620717
73.800000	5446.440000	11.681384
73.900000	5461.210000	11.738369
74.000000	5476.000000	11.791426
74.100000	5490.810000	11.840324
74.200000	5505.640000	11.884846
74.300000	5520.490000	11.924794
74.400000	5535.360000	11.959988
74.500000	5550.250000	11.990265
74.600000	5565.160000	12.015481
74.700000	5580.090000	12.035513
74.800000	5595.040000	12.050255
74.900000	5610.010000	12.059624
75.000000	5625.000000	12.063556
75.100000	5640.010000	12.062009
75.200000	5655.040000	12.054960
75.300000	5670.090000	12.042408
75.400000	5685.160000	12.024374
75.500000	5700.250000	12.000899
75.600000	5715.360000	11.972043
75.700000	5730.490000	11.937889
75.800000	5745.640000	11.898539
75.900000	5760.810000	11.854115
76.000000	5776.000000	11.804757
76.100000	5791.210000	11.750626
76.200000	5806.440000	11.691899
76.300000	5821.690000	11.628771
76.400000	5836.960000	11.561454
76.500000	5852.250000	11.490175
76.600000	5867.560000	11.415176
76.700000	5882.890000	11.336715
76.800000	5898.240000	11.255061
76.900000	5913.610000	11.170494
77.000000	5929.000000	11.083307
77.100000	5944.410000	10.993803
77.200000	5959.840000	10.902292
77.300000	5975.290000	10.809092
77.400000	5990.760000	10.714528
77.500000	6006.250000	10.618929
77.600000	6021.760000	10.522628
77.700000	6037.290000	10.425961
77.800000	6052.840000	10.329266
77.900000	6068.410000	10.232879
78.000000	6084.000000	10.137135
78.100000	6099.610000	10.042369
78.200000	6115.240000	9.948908
78.300000	6130.890000	9.857077
78.400000	6146.560000	9.767193
78.500000	6162.250000	9.679568
78.600000	6177.960000	9.594502
78.700000	6193.690000	9.512287
78.800000	6209.440000	9.433204
78.900000	6225.210000	9.357522
79.000000	6241.000000	9.285497
79.100000	6256.810000	9.217370
79.200000	6272.640000	9.153368
79.300000	6288.490000	9.093703
79.400000	6304.360000	9.038569
79.500000	6320.250000	8.988144
79.600000	6336.160000	8.942587
79.700000	6352.090000	8.902040
79.800000	6368.040000	8.866625
79.900000	6384.010000	8.836444
80.000000	6400.000000	8.811579
80.100000	6416.010000	8.792094
80.200000	6432.040000	8.778030
80.300000	6448.090000	8.769409
80.400000	6464.160000	8.766232
80.500000	6480.250000	8.768480
80.600000	6496.360000	8.776111
80.700000	6512.490000	8.789066
80.800000	6528.640000	8.807264
80.900000	6544.810000	8.830604
81.000000	6561.000000	8.858965
81.100000	6577.210000	8.892210
81.200000	6593.440000	8.930180
81.300000	6609.690000	8.972700
81.400000	6625.960000	9.019577
81.500000	6642.250000	9.070603
81.600000	6658.560000	9.125553
81.700000	6674.890000	9.184187
81.800000	6691.240000	9.246252
81.900000	6707.610000	9.311481
82.000000	6724.000000	9.379596
82.100000	6740.410000	9.450309
82.200000	6756.840000	9.523319
82.300000	6773.290000	9.598320
82.400000	6789.760000	9.674996
82.500000	6806.250000	9.753026
82.600000	6822.760000	9.832083
82.700000	6839.290000	9.911836
82.800000	6855.840000	9.991954
82.900000	6872.410000	10.072102
83.000000	6889.000000	10.151944
83.100000	6905.610000	10.231149
83.200000	6922.240000	10.309385
83.300000	6938.890000	10.386325
83.400000	6955.560000	10.461646
83.500000	6972.250000	10.535034
83.600000	6988.960000	10.606179
83.700000	7005.690000	10.674780
83.800000	7022.440000	10.740548
83.900000	7039.210000	10.803202
84.000000	7056.000000	10.862475
84.100000	7072.810000	10.918110
84.200000	7089.640000	10.969867
84.300000	7106.490000	11.017519
84.400000	7123.360000	11.060853
84.500000	7140.250000	11.099676
84.600000	7157.160000	11.133809
84.700000	7174.090000	11.163092
84.800000	7191.040000	11.187382
84.900000	7208.010000	11.206558
85.000000	7225.000000	11.220515
85.100000	7242.010000	11.229168
85.200000	7259.040000	11.232456
85.300000	7276.090000	11.230332
85.400000	7293.160000	11.222776
85.500000	7310.250000	11.209783
85.600000	7327.360000	11.191372
85.700000	7344.490000	11.167581
85.800000	7361.640000	11.138470
85.900000	7378.810000	11.104117
86.000000	7396.000000	11.064621
86.100000	7413.210000	11.020100
86.200000	7430.440000	10.970693
86.300000	7447.690000	10.916555
86.400000	7464.960000	10.857859
86.500000	7482.250000	10.794798
86.600000	7499.560000	10.727580
86.700000	7516.890000	10.656427
86.800000	7534.240000	10.581580
86.900000	7551.610000	10.503290
87.000000	7569.000000	10.421825
87.100000	7586.410000	10.337462
87.200000	7603.840000	10.250491
87.300000	7621.290000	10.161211
87.400000	7638.760000	10.069932
87.500000	7656.250000	9.976970
87.600000	7673.760000	9.882647
87.700000	7691.290000	9.787292
87.800000	7708.840000	9.691239
87.900000	7726.410000	9.594822
88.000000	7744.000000	9.498380
88.100000	7761.610000	9.402251
88.200000	7779.240000	9.306771
88.300000	7796.890000	9.212276
88.400000	7814.560000	9.119099
88.500000	7832.250000	9.027566
88.600000	7849.960000	8.937999
88.700000	7867.690000	8.850715
88.800000	7885.440000	8.766018
