#jbar theta B
3 53.7 325.0631253
3 53.8 323.9722201
3 53.9 322.8818714
3 54.0 321.7920897
3 54.1 320.7028861
3 54.2 319.6142712
3 54.3 318.5262557
3 54.4 317.4388505
3 54.5 316.3520662
3 54.6 315.2659137
3 54.7 314.1804035
3 54.8 313.0955465
3 54.9 312.0113533
3 55.0 310.9278345
3 55.1 309.8450009
3 55.2 308.7628632
3 55.3 307.6814318
3 55.4 306.6007176
3 55.5 305.5207311
3 55.6 304.4414830
3 55.7 303.3629838
3 55.8 302.2852441
3 55.9 301.2082745
3 56.0 300.1320855
3 56.1 299.0566878
3 56.2 297.9820918
3 56.3 296.9083081
3 56.4 295.8353472
3 56.5 294.7632196
3 56.6 293.6919357
3 56.7 292.6215061
3 56.8 291.5519412
3 56.9 290.4832514
3 57.0 289.4154473
3 57.1 288.3485391
3 57.2 287.2825373
3 57.3 286.2174523
3 57.4 285.1532945
3 57.5 284.0900742
3 57.6 283.0278019
3 57.7 281.9664877
3 57.8 280.9061421
3 57.9 279.8467753
3 58.0 278.7883976
3 58.1 277.7310193
3 58.2 276.6746507
3 58.3 275.6193020
3 58.4 274.5649835
3 58.5 273.5117053
3 58.6 272.4594776
3 58.7 271.4083107
3 58.8 270.3582147
3 58.9 269.3091997
3 59.0 268.2612759
3 59.1 267.2144534
3 59.2 266.1687423
3 59.3 265.1241528
3 59.4 264.0806947
3 59.5 263.0383783
3 59.6 261.9972136
3 59.7 260.9572105
3 59.8 259.9183791
3 59.9 258.8807293
3 60.0 257.8442712
3 60.1 256.8090147
3 60.2 255.7749697
3 60.3 254.7421461
3 60.4 253.7105539
3 60.5 252.6802029
3 60.6 251.6511029
3 60.7 250.6232639
3 60.8 249.5966956
3 60.9 248.5714079
3 61.0 247.5474106
3 61.1 246.5247134
3 61.2 245.5033261
3 61.3 244.4832584
3 61.4 243.4645200
3 61.5 242.4471207
3 61.6 241.4310701
3 61.7 240.4163778
3 61.8 239.4030536
3 61.9 238.3911071
3 62.0 237.3805477
3 62.1 236.3713852
3 62.2 235.3636292
3 62.3 234.3572890
3 62.4 233.3523743
3 62.5 232.3488946
3 62.6 231.3468593
3 62.7 230.3462780
3 62.8 229.3471600
3 62.9 228.3495148
3 63.0 227.3533518
3 63.1 226.3586804
3 63.2 225.3655099
3 63.3 224.3738497
3 63.4 223.3837090
3 63.5 222.3950973
3 63.6 221.4080238
3 63.7 220.4224977
3 63.8 219.4385283
3 63.9 218.4561248
3 64.0 217.4752964
